id_pagamento,id_fatura,id_cliente,data_pagamento,valor_pagamento
PG-7-8,7-8,7,2023-09-06,39382.54
PG-7-9,7-9,7,2023-09-28,3740.48
PG-7-11,7-11,7,2023-12-06,26666.33
PG-7-12,7-12,7,2023-12-15,4833.0
PG-8-3,8-3,8,2023-03-29,16400.87
PG-8-4,8-4,8,2023-04-16,55731.79
PG-8-6,8-6,8,2023-06-17,11927.31
PG-8-7,8-7,8,2023-08-06,21057.79
PG-8-8,8-8,8,2023-08-18,10586.28
PG-8-10,8-10,8,2023-11-03,36684.64
PG-8-11,8-11,8,2023-12-09,17415.88
PG-8-12,8-12,8,2023-12-08,6640.82
PG-8-13,8-13,8,2024-01-01,53182.19
PG-9-1,9-1,9,2023-01-09,223.36
PG-9-2,9-2,9,2023-02-06,15246.71
PG-9-3,9-3,9,2023-03-23,259.61
PG-9-5,9-5,9,2023-05-30,616.39
PG-9-7,9-7,9,2023-07-03,14462.82
PG-9-8,9-8,9,2023-08-26,20311.51
PG-9-9,9-9,9,2023-09-25,27800.4
PG-9-10,9-10,9,2023-10-13,1287.72
PG-9-11,9-11,9,2023-11-10,15719.61
PG-9-12,9-12,9,2023-12-31,5325.27
PG-9-13,9-13,9,2024-01-20,25375.12
PG-10-1,10-1,10,2023-01-08,23730.9
PG-10-2,10-2,10,2023-02-15,10497.17
PG-10-5,10-5,10,2023-05-02,3411.61
PG-10-10,10-10,10,2023-10-27,30481.2
PG-10-11,10-11,10,2023-11-21,28680.12
PG-10-13,10-13,10,2024-01-08,5551.44
PG-11-2,11-2,11,2023-02-12,47928.35
PG-11-3,11-3,11,2023-03-31,46268.07
PG-11-4,11-4,11,2023-04-07,6647.87
PG-11-5,11-5,11,2023-05-28,6563.66
PG-11-6,11-6,11,2023-06-01,20717.44
PG-11-7,11-7,11,2023-07-06,24541.46
PG-11-8,11-8,11,2023-09-07,19535.96
PG-11-9,11-9,11,2023-09-09,13443.33
PG-11-11,11-11,11,2023-12-04,1587.5
PG-11-13,11-13,11,2024-01-05,5067.27
PG-12-1,12-1,12,2023-01-25,18834.86
PG-12-2,12-2,12,2023-02-11,7722.7
PG-12-3,12-3,12,2023-03-22,22244.59
PG-12-5,12-5,12,2023-05-09,24921.89
PG-12-6,12-6,12,2023-06-06,1107.15
PG-12-7,12-7,12,2023-08-08,56036.61
PG-12-8,12-8,12,2023-09-05,4760.22
PG-12-10,12-10,12,2023-10-31,6951.2
PG-12-12,12-12,12,2023-12-19,13948.19
PG-13-1,13-1,13,2023-01-21,13891.1
PG-13-2,13-2,13,2023-02-28,12916.04
PG-13-4,13-4,13,2023-04-14,19225.63
PG-13-5,13-5,13,2023-05-25,2815.34
PG-13-7,13-7,13,2023-07-14,4673.36
PG-13-8,13-8,13,2023-08-30,11370.22
PG-13-9,13-9,13,2023-09-10,5608.76
PG-13-11,13-11,13,2023-11-06,301.95
PG-13-13,13-13,13,2024-01-26,40782.32
PG-14-3,14-3,14,2023-03-12,9505.56
PG-14-4,14-4,14,2023-04-22,64977.07
PG-14-5,14-5,14,2023-05-26,33849.72
PG-14-7,14-7,14,2023-08-03,29055.27
PG-14-11,14-11,14,2023-11-06,34531.29
PG-14-12,14-12,14,2024-01-02,8611.91
PG-14-13,14-13,14,2024-02-02,8854.06
PG-15-2,15-2,15,2023-03-04,49350.75
PG-15-3,15-3,15,2023-03-21,10118.77
PG-15-4,15-4,15,2023-04-08,45208.97
PG-15-5,15-5,15,2023-05-03,18002.77
PG-15-6,15-6,15,2023-06-25,11508.53
PG-15-9,15-9,15,2023-09-08,1895.17
PG-15-11,15-11,15,2023-11-08,23593.11
PG-15-12,15-12,15,2024-01-03,4962.32
PG-15-13,15-13,15,2024-01-18,10538.18
PG-16-1,16-1,16,2023-01-03,28429.25
PG-16-2,16-2,16,2023-02-04,45669.41
PG-16-3,16-3,16,2023-03-11,29640.26
PG-16-4,16-4,16,2023-04-01,3806.8
PG-16-6,16-6,16,2023-06-03,25756.31
PG-16-8,16-8,16,2023-08-05,2638.45
PG-16-10,16-10,16,2023-10-08,25142.17
PG-16-11,16-11,16,2023-11-12,2061.35
PG-16-12,16-12,16,2023-12-09,61803.96
PG-16-13,16-13,16,2024-01-24,18133.85
PG-17-1,17-1,17,2023-02-08,7595.25
PG-17-2,17-2,17,2023-02-04,27.68
PG-17-3,17-3,17,2023-03-04,10873.37
PG-17-4,17-4,17,2023-04-29,2431.61
PG-17-5,17-5,17,2023-05-15,6790.14
PG-17-6,17-6,17,2023-06-03,45290.98
PG-17-7,17-7,17,2023-07-26,16606.82
PG-17-9,17-9,17,2023-09-28,40779.81
PG-17-12,17-12,17,2024-01-06,10548.81
PG-17-13,17-13,17,2024-02-07,10628.01
PG-18-1,18-1,18,2023-01-09,2690.64
PG-18-2,18-2,18,2023-02-13,1676.69
PG-18-3,18-3,18,2023-03-06,9670.89
PG-18-4,18-4,18,2023-04-21,231.12
PG-18-5,18-5,18,2023-05-05,3015.64
PG-18-7,18-7,18,2023-08-07,13146.07
PG-18-8,18-8,18,2023-08-16,46739.66
PG-18-9,18-9,18,2023-09-02,47618.33
PG-18-10,18-10,18,2023-10-20,20417.8
PG-18-11,18-11,18,2023-11-25,22210.17
PG-18-12,18-12,18,2023-12-14,313.63
PG-18-13,18-13,18,2024-01-27,9262.19
PG-19-1,19-1,19,2023-01-22,1583.86
PG-19-3,19-3,19,2023-03-06,32364.23
PG-19-4,19-4,19,2023-04-05,16249.9
PG-19-6,19-6,19,2023-06-11,6212.24
PG-19-7,19-7,19,2023-07-16,25907.99
PG-19-9,19-9,19,2023-09-30,2672.01
PG-19-10,19-10,19,2023-10-08,847.88
PG-19-11,19-11,19,2023-12-04,29128.32
PG-19-12,19-12,19,2023-12-04,18448.42
PG-20-1,20-1,20,2023-01-18,10861.96
PG-20-3,20-3,20,2023-03-01,9079.1
PG-20-5,20-5,20,2023-05-04,241.42
PG-20-6,20-6,20,2023-06-05,28953.4
PG-20-8,20-8,20,2023-08-05,4050.21
PG-20-9,20-9,20,2023-09-05,751.57
PG-20-10,20-10,20,2023-10-08,25964.81
PG-20-11,20-11,20,2023-11-11,26426.55
PG-20-12,20-12,20,2024-01-02,43855.14
PG-21-3,21-3,21,2023-03-13,2232.95
PG-21-5,21-5,21,2023-05-07,14025.79
PG-21-6,21-6,21,2023-06-05,1070.75
PG-21-7,21-7,21,2023-07-31,1119.26
PG-21-8,21-8,21,2023-08-14,5601.83
PG-21-9,21-9,21,2023-09-29,25014.88
PG-21-10,21-10,21,2023-10-23,51882.52
PG-21-11,21-11,21,2023-11-18,32848.59
PG-21-12,21-12,21,2023-12-10,14964.39
PG-22-2,22-2,22,2023-03-01,1011.67
PG-22-5,22-5,22,2023-05-09,12612.65
PG-22-7,22-7,22,2023-07-03,18804.96
PG-22-8,22-8,22,2023-08-24,7589.17
PG-22-9,22-9,22,2023-09-05,5445.89
PG-22-10,22-10,22,2023-10-03,21830.22
PG-22-12,22-12,22,2023-12-09,1609.8
PG-23-1,23-1,23,2023-01-07,7511.76
PG-23-2,23-2,23,2023-02-07,10543.75
PG-23-5,23-5,23,2023-05-04,4712.33
PG-23-12,23-12,23,2023-12-10,39790.0
PG-23-13,23-13,23,2024-01-28,9075.83
PG-24-1,24-1,24,2023-01-30,41300.66
PG-24-3,24-3,24,2023-03-07,15296.83
PG-24-4,24-4,24,2023-04-29,5182.76
PG-24-5,24-5,24,2023-06-01,37646.95
PG-24-6,24-6,24,2023-06-18,42469.77
PG-24-7,24-7,24,2023-07-07,2447.5
PG-24-9,24-9,24,2023-10-01,27605.54
PG-24-11,24-11,24,2023-12-04,9670.87
PG-24-12,24-12,24,2023-12-10,2055.49
PG-24-13,24-13,24,2024-01-30,9689.01
PG-25-1,25-1,25,2023-01-02,6676.77
PG-25-2,25-2,25,2023-02-08,6076.8
PG-25-3,25-3,25,2023-03-07,1313.45
PG-25-4,25-4,25,2023-04-22,38879.44
PG-25-6,25-6,25,2023-06-13,7728.81
PG-25-7,25-7,25,2023-07-07,43511.98
PG-25-8,25-8,25,2023-08-14,34146.11
PG-25-9,25-9,25,2023-09-05,3710.95
PG-25-10,25-10,25,2023-10-08,2106.69
PG-25-11,25-11,25,2023-11-03,21394.13
PG-25-12,25-12,25,2024-01-05,8959.31
PG-25-13,25-13,25,2024-02-03,36127.57
PG-26-1,26-1,26,2023-01-04,3393.32
PG-26-2,26-2,26,2023-02-01,2519.03
PG-26-5,26-5,26,2023-05-17,12361.74
PG-26-6,26-6,26,2023-06-02,4020.31
PG-26-7,26-7,26,2023-07-18,18478.15
PG-26-8,26-8,26,2023-08-28,61440.69
PG-26-9,26-9,26,2023-09-22,15590.77
PG-26-10,26-10,26,2023-10-28,25599.09
PG-26-11,26-11,26,2023-11-08,5228.31
PG-26-12,26-12,26,2023-12-05,19143.87
PG-27-1,27-1,27,2023-01-06,15759.23
PG-27-2,27-2,27,2023-02-26,15876.39
PG-27-3,27-3,27,2023-03-26,840.91
PG-27-4,27-4,27,2023-04-05,41997.09
PG-27-5,27-5,27,2023-05-04,1970.54
PG-27-6,27-6,27,2023-07-01,11.08
PG-27-7,27-7,27,2023-08-08,19449.86
PG-27-8,27-8,27,2023-08-02,33123.77
PG-27-9,27-9,27,2023-09-09,46465.6
PG-27-10,27-10,27,2023-10-19,1220.28
PG-27-11,27-11,27,2023-11-16,15482.85
PG-27-13,27-13,27,2024-01-02,4307.78
PG-28-3,28-3,28,2023-03-09,10394.09
PG-28-4,28-4,28,2023-04-01,9079.44
PG-28-7,28-7,28,2023-07-14,600.05
PG-28-9,28-9,28,2023-10-07,19716.11
PG-28-10,28-10,28,2023-11-06,15939.12
PG-28-12,28-12,28,2023-12-25,25081.0
PG-28-13,28-13,28,2024-01-25,2801.9
PG-29-2,29-2,29,2023-02-23,2428.92
PG-29-3,29-3,29,2023-03-08,6957.92
PG-29-4,29-4,29,2023-04-22,3008.46
PG-29-5,29-5,29,2023-05-01,12037.17
PG-29-6,29-6,29,2023-06-10,2401.05
PG-29-7,29-7,29,2023-07-03,24096.35
PG-29-8,29-8,29,2023-08-09,234.36
PG-29-9,29-9,29,2023-09-17,41439.34
PG-29-10,29-10,29,2023-10-24,46096.13
PG-29-11,29-11,29,2023-11-12,35958.35
PG-29-13,29-13,29,2024-01-17,5425.42
PG-30-1,30-1,30,2023-01-06,20114.05
PG-30-2,30-2,30,2023-02-11,6247.13
PG-30-3,30-3,30,2023-03-16,30765.55
PG-30-4,30-4,30,2023-04-07,26789.54
PG-30-5,30-5,30,2023-05-26,15574.99
PG-30-6,30-6,30,2023-07-03,32507.19
PG-30-8,30-8,30,2023-08-20,66150.7
PG-30-9,30-9,30,2023-09-16,885.2
PG-30-10,30-10,30,2023-10-07,512.83
PG-30-11,30-11,30,2023-11-27,16824.08
PG-30-13,30-13,30,2024-01-08,13365.41
PG-31-1,31-1,31,2023-01-07,7096.79
PG-31-2,31-2,31,2023-02-02,22689.14
PG-31-3,31-3,31,2023-03-01,8462.65
PG-31-5,31-5,31,2023-05-07,11926.32
PG-31-6,31-6,31,2023-06-19,8735.56
PG-31-7,31-7,31,2023-08-08,675.07
PG-31-8,31-8,31,2023-08-09,1369.76
PG-31-10,31-10,31,2023-10-09,34687.28
PG-31-12,31-12,31,2023-12-03,12494.81
PG-31-13,31-13,31,2024-01-16,30457.11
PG-32-1,32-1,32,2023-01-14,22500.09
PG-32-3,32-3,32,2023-03-25,45553.53
PG-32-5,32-5,32,2023-06-07,30834.94
PG-32-6,32-6,32,2023-06-16,22533.5
PG-32-7,32-7,32,2023-07-24,11880.05
PG-32-8,32-8,32,2023-08-30,14762.1
PG-32-10,32-10,32,2023-10-12,29455.34
PG-32-11,32-11,32,2023-11-15,28960.23
PG-32-12,32-12,32,2023-12-10,27882.84
PG-32-13,32-13,32,2024-01-27,6023.49
PG-33-1,33-1,33,2023-01-10,25362.26
PG-33-2,33-2,33,2023-02-19,27509.87
PG-33-3,33-3,33,2023-03-05,13992.88
PG-33-4,33-4,33,2023-05-01,8332.96
PG-33-5,33-5,33,2023-05-25,2863.57
PG-33-8,33-8,33,2023-09-03,1912.85
PG-33-9,33-9,33,2023-10-01,7449.12
PG-33-10,33-10,33,2023-10-23,5015.55
PG-33-11,33-11,33,2023-11-09,26456.45
PG-33-13,33-13,33,2024-01-06,22934.9
PG-34-1,34-1,34,2023-02-04,47.13
PG-34-4,34-4,34,2023-04-22,54667.01
PG-34-6,34-6,34,2023-06-02,6199.19
PG-34-7,34-7,34,2023-07-13,2919.69
PG-34-8,34-8,34,2023-09-04,50736.5
PG-34-9,34-9,34,2023-10-05,13016.79
PG-34-10,34-10,34,2023-10-18,5745.64
PG-35-1,35-1,35,2023-02-02,43995.52
PG-35-3,35-3,35,2023-03-07,6489.15
PG-35-4,35-4,35,2023-04-12,1040.04
PG-35-5,35-5,35,2023-05-21,33785.14
PG-35-7,35-7,35,2023-08-02,43376.25
PG-35-9,35-9,35,2023-09-07,22781.82
PG-35-10,35-10,35,2023-10-24,1185.57
PG-35-11,35-11,35,2023-11-01,18845.37
PG-35-13,35-13,35,2024-01-02,169.67
PG-36-1,36-1,36,2023-02-05,17907.3
PG-36-2,36-2,36,2023-03-09,38096.2
PG-36-3,36-3,36,2023-03-21,8291.19
PG-36-5,36-5,36,2023-06-03,32659.11
PG-36-6,36-6,36,2023-06-26,11695.31
PG-36-7,36-7,36,2023-07-08,3729.42
PG-36-8,36-8,36,2023-09-03,15520.15
PG-36-9,36-9,36,2023-09-07,8302.45
PG-36-10,36-10,36,2023-10-30,13183.03
PG-36-11,36-11,36,2023-11-07,2338.21
PG-36-12,36-12,36,2023-12-06,7862.36
PG-36-13,36-13,36,2024-01-13,7866.24
PG-37-2,37-2,37,2023-02-04,24067.16
PG-37-4,37-4,37,2023-04-15,25675.78
PG-37-5,37-5,37,2023-05-13,1582.92
PG-37-6,37-6,37,2023-07-08,22454.74
PG-37-7,37-7,37,2023-07-29,2902.3
PG-37-8,37-8,37,2023-08-17,55652.99
PG-37-9,37-9,37,2023-09-04,13618.76
PG-37-13,37-13,37,2024-01-03,50549.51
PG-38-1,38-1,38,2023-01-28,7804.38
PG-38-4,38-4,38,2023-04-25,4342.43
PG-38-7,38-7,38,2023-07-02,1890.33
PG-38-9,38-9,38,2023-09-08,520.9
PG-38-10,38-10,38,2023-10-05,9513.01
PG-38-11,38-11,38,2023-11-21,2135.98
PG-38-12,38-12,38,2023-12-12,44268.87
PG-39-1,39-1,39,2023-01-16,32672.95
PG-39-2,39-2,39,2023-02-05,136.46
PG-39-4,39-4,39,2023-04-05,1334.35
PG-39-6,39-6,39,2023-06-07,29021.92
PG-39-7,39-7,39,2023-07-05,36838.91
PG-39-8,39-8,39,2023-08-06,27881.91
PG-39-9,39-9,39,2023-09-23,3259.47
PG-39-10,39-10,39,2023-10-20,28524.94
PG-39-11,39-11,39,2023-11-15,1110.75
PG-40-2,40-2,40,2023-02-05,59544.41
PG-40-4,40-4,40,2023-04-30,36940.3
PG-40-5,40-5,40,2023-05-03,10256.28
PG-40-6,40-6,40,2023-06-16,586.63
PG-40-8,40-8,40,2023-08-03,10516.13
PG-40-9,40-9,40,2023-09-04,39730.53
PG-40-12,40-12,40,2023-12-20,14531.1
PG-40-13,40-13,40,2024-01-09,15839.55
PG-41-3,41-3,41,2023-04-04,14964.83
PG-41-4,41-4,41,2023-04-27,25146.56
PG-41-6,41-6,41,2023-06-04,11807.78
PG-41-8,41-8,41,2023-08-19,22175.99
PG-41-9,41-9,41,2023-09-10,5739.51
PG-41-11,41-11,41,2023-11-24,14001.36
PG-42-1,42-1,42,2023-01-07,10368.46
PG-42-2,42-2,42,2023-03-06,1652.84
PG-42-4,42-4,42,2023-04-25,37466.49
PG-42-7,42-7,42,2023-07-31,5591.21
PG-42-8,42-8,42,2023-08-31,15141.21
PG-42-9,42-9,42,2023-09-10,10509.81
PG-42-11,42-11,42,2023-12-01,16640.74
PG-42-12,42-12,42,2023-12-23,6048.52
PG-42-13,42-13,42,2024-02-03,22288.25
PG-43-1,43-1,43,2023-01-06,1609.6
PG-43-2,43-2,43,2023-02-22,26405.09
PG-43-3,43-3,43,2023-03-26,11524.85
PG-43-4,43-4,43,2023-04-03,6264.59
PG-43-8,43-8,43,2023-08-20,38161.09
PG-43-9,43-9,43,2023-09-22,4480.3
PG-44-1,44-1,44,2023-01-02,10222.15
PG-44-2,44-2,44,2023-02-27,24936.43
PG-44-4,44-4,44,2023-04-08,18045.7
PG-44-5,44-5,44,2023-06-02,16.55
PG-44-6,44-6,44,2023-06-05,12572.81
PG-44-7,44-7,44,2023-08-06,7976.03
PG-44-8,44-8,44,2023-09-08,7318.29
PG-44-12,44-12,44,2023-12-10,22707.76
PG-44-13,44-13,44,2024-02-05,3406.42
PG-45-1,45-1,45,2023-02-05,32197.46
PG-45-2,45-2,45,2023-03-05,8233.4
PG-45-3,45-3,45,2023-03-10,24598.91
PG-45-5,45-5,45,2023-05-08,15780.31
PG-45-6,45-6,45,2023-06-07,5670.49
PG-45-7,45-7,45,2023-07-04,5823.85
PG-45-10,45-10,45,2023-10-10,44612.79
PG-45-13,45-13,45,2024-01-08,24979.49
PG-46-1,46-1,46,2023-01-10,9598.96
PG-46-3,46-3,46,2023-03-07,2642.91
PG-46-5,46-5,46,2023-05-24,29665.3
PG-46-8,46-8,46,2023-08-02,13498.84
PG-46-9,46-9,46,2023-10-09,142.03
PG-46-10,46-10,46,2023-10-15,10935.55
PG-46-11,46-11,46,2023-11-09,13973.61
PG-46-12,46-12,46,2023-12-09,34872.75
PG-46-13,46-13,46,2024-01-08,583.81
PG-47-1,47-1,47,2023-01-14,60917.84
PG-47-2,47-2,47,2023-02-07,998.29
PG-47-3,47-3,47,2023-03-01,10574.68
PG-47-4,47-4,47,2023-04-10,9980.87
PG-47-5,47-5,47,2023-05-01,9933.07
PG-47-6,47-6,47,2023-06-06,49342.11
PG-47-7,47-7,47,2023-07-07,65058.81
PG-47-8,47-8,47,2023-08-28,9864.65
PG-47-9,47-9,47,2023-09-01,5392.64
PG-47-10,47-10,47,2023-10-26,27.12
PG-47-13,47-13,47,2024-01-24,62046.8
PG-48-1,48-1,48,2023-01-18,40815.89
PG-48-2,48-2,48,2023-02-27,286.68
PG-48-3,48-3,48,2023-04-07,12244.92
PG-48-5,48-5,48,2023-05-07,10661.56
PG-48-6,48-6,48,2023-06-19,4304.92
PG-48-7,48-7,48,2023-07-11,35272.69
PG-48-13,48-13,48,2024-02-01,11975.9
PG-49-1,49-1,49,2023-01-08,2168.78
PG-49-2,49-2,49,2023-03-08,1198.51
PG-49-3,49-3,49,2023-03-04,34760.66
PG-49-4,49-4,49,2023-04-10,32463.59
PG-49-5,49-5,49,2023-05-02,8645.18
PG-49-6,49-6,49,2023-06-04,30568.73
PG-49-8,49-8,49,2023-08-10,36210.47
PG-49-9,49-9,49,2023-09-08,716.85
PG-49-10,49-10,49,2023-10-03,40697.71
PG-49-11,49-11,49,2023-11-25,21532.81
PG-50-1,50-1,50,2023-01-22,6455.43
PG-50-2,50-2,50,2023-02-04,7081.77
PG-50-3,50-3,50,2023-03-31,9805.29
PG-50-6,50-6,50,2023-06-27,2162.62
PG-50-8,50-8,50,2023-09-06,23905.23
PG-50-9,50-9,50,2023-09-02,37547.8
PG-50-10,50-10,50,2023-10-21,17934.95
PG-50-11,50-11,50,2023-11-23,21017.13
PG-50-12,50-12,50,2023-12-17,9300.84
PG-51-3,51-3,51,2023-03-01,27556.43
PG-51-4,51-4,51,2023-04-07,16110.73
PG-51-5,51-5,51,2023-05-30,18352.77
PG-51-7,51-7,51,2023-07-05,13253.81
PG-51-8,51-8,51,2023-08-05,57867.83
PG-51-10,51-10,51,2023-10-03,60983.81
PG-51-11,51-11,51,2023-11-02,9875.88
PG-51-13,51-13,51,2024-01-23,1740.57
PG-52-1,52-1,52,2023-01-01,8778.2
PG-52-2,52-2,52,2023-03-01,11079.16
PG-52-3,52-3,52,2023-03-30,4437.24
PG-52-4,52-4,52,2023-04-14,48372.4
PG-52-6,52-6,52,2023-06-05,678.35
PG-52-7,52-7,52,2023-07-13,16069.97
PG-52-11,52-11,52,2023-11-27,5094.29
PG-52-12,52-12,52,2023-12-03,16538.62
PG-52-13,52-13,52,2024-02-02,2316.04
PG-53-1,53-1,53,2023-01-07,7870.67
PG-53-3,53-3,53,2023-03-07,2922.52
PG-53-4,53-4,53,2023-04-09,36047.97
PG-53-5,53-5,53,2023-05-28,34358.04
PG-53-6,53-6,53,2023-07-07,19716.74
PG-53-7,53-7,53,2023-07-02,63467.8
PG-53-8,53-8,53,2023-08-25,39799.67
PG-53-10,53-10,53,2023-11-01,7543.81
PG-53-13,53-13,53,2024-01-08,33215.17
PG-54-2,54-2,54,2023-02-08,9140.65
PG-54-3,54-3,54,2023-03-03,6251.99
PG-54-8,54-8,54,2023-08-07,2197.65
PG-54-10,54-10,54,2023-10-02,3278.66
PG-54-11,54-11,54,2023-12-05,5992.16
PG-54-13,54-13,54,2024-01-10,6357.86
PG-55-1,55-1,55,2023-01-06,67.79
PG-55-4,55-4,55,2023-05-05,12939.34
PG-55-5,55-5,55,2023-05-09,331.07
PG-55-6,55-6,55,2023-07-03,463.2
PG-55-7,55-7,55,2023-08-01,26752.52
PG-55-9,55-9,55,2023-09-01,16070.43
PG-55-10,55-10,55,2023-10-09,1535.72
PG-55-11,55-11,55,2023-11-03,58750.0
PG-55-13,55-13,55,2024-01-09,30420.2
PG-56-1,56-1,56,2023-01-18,23891.95
PG-56-2,56-2,56,2023-02-10,21147.49
PG-56-4,56-4,56,2023-04-20,15893.79
PG-56-5,56-5,56,2023-05-13,4886.21
PG-56-6,56-6,56,2023-06-05,3742.54
PG-56-7,56-7,56,2023-08-05,13301.99
PG-56-8,56-8,56,2023-09-02,31095.73
PG-56-9,56-9,56,2023-09-02,49648.71
PG-56-10,56-10,56,2023-10-16,2281.09
PG-56-12,56-12,56,2023-12-21,12207.89
PG-57-1,57-1,57,2023-01-02,11307.05
PG-57-4,57-4,57,2023-04-25,323.43
PG-57-5,57-5,57,2023-05-18,1534.07
PG-57-6,57-6,57,2023-06-03,11262.16
PG-57-7,57-7,57,2023-07-08,2617.97
PG-57-8,57-8,57,2023-08-07,3180.41
PG-57-9,57-9,57,2023-09-06,30319.38
PG-57-10,57-10,57,2023-10-07,9478.77
PG-57-12,57-12,57,2023-12-02,7294.74
PG-58-2,58-2,58,2023-02-01,2155.89
PG-58-4,58-4,58,2023-04-29,52270.64
PG-58-5,58-5,58,2023-05-18,8738.47
PG-58-8,58-8,58,2023-08-20,31538.5
PG-58-10,58-10,58,2023-10-26,15674.13
PG-58-11,58-11,58,2023-11-10,35053.28
PG-58-12,58-12,58,2023-12-12,42022.45
PG-59-1,59-1,59,2023-01-28,19685.44
PG-59-2,59-2,59,2023-03-07,21911.72
PG-59-4,59-4,59,2023-04-13,5683.1
PG-59-5,59-5,59,2023-05-07,2598.3
PG-59-6,59-6,59,2023-06-29,8995.03
PG-59-8,59-8,59,2023-08-18,17348.66
PG-59-10,59-10,59,2023-10-09,5253.33
PG-59-11,59-11,59,2023-12-03,10622.63
PG-59-12,59-12,59,2024-01-01,125.2
PG-59-13,59-13,59,2024-01-02,6853.32
PG-60-1,60-1,60,2023-01-09,3483.05
PG-60-2,60-2,60,2023-02-03,14029.2
PG-60-4,60-4,60,2023-04-07,7520.78
PG-60-5,60-5,60,2023-05-27,16383.14
PG-60-6,60-6,60,2023-07-05,22307.3
PG-60-8,60-8,60,2023-09-05,19350.0
PG-60-10,60-10,60,2023-10-02,4037.09
PG-60-11,60-11,60,2023-11-14,27769.62
PG-60-12,60-12,60,2023-12-10,46670.07
PG-60-13,60-13,60,2024-01-03,21371.52
PG-61-1,61-1,61,2023-01-20,3258.37
PG-61-2,61-2,61,2023-02-06,21172.86
PG-61-3,61-3,61,2023-03-17,4.47
PG-61-4,61-4,61,2023-04-02,25701.48
PG-61-5,61-5,61,2023-05-07,1847.98
PG-61-6,61-6,61,2023-06-02,34122.16
PG-61-7,61-7,61,2023-07-14,40338.42
PG-61-8,61-8,61,2023-08-10,34806.58
PG-61-9,61-9,61,2023-09-12,2369.35
PG-61-10,61-10,61,2023-10-20,7270.09
PG-61-12,61-12,61,2023-12-24,18857.98
PG-62-1,62-1,62,2023-02-08,11047.36
PG-62-3,62-3,62,2023-03-02,24796.67
PG-62-4,62-4,62,2023-04-10,239.1
